128, Korangi No.4,67.1579957,24.8273134
129, Korangi No.5-1/2,67.1656409,24.8232494
130, Dhobi Ghat,67.0125769,24.8780651
131,Ghous Pak,67.160366,24.8167795
132, Coast Guard,67.0251991,24.8684886
133, Korangi No.2,67.0998318,24.8343622
134, Nasir Colony,67.1261433,24.825333
135, Chamra Chowrangi,67.1812114,24.8521146
136, Brookse Chowrangi,67.0992019,24.8344855
137, Defence Mour,67.06785719999999,24.8368995
138, Lucky Star,67.0167444,24.9324093
139, Jail Chowrangi,67.0560005,24.8852442
140, New Town,67.062179,24.9976968
141, Agha Khan Hospital,67.074753,24.89203
142, National Stadium,67.0814333,24.8960374
143, Drive-in Cinema,67.068269,24.9296872
144, Aladin Park,67.1060925,24.9116457
145, Kala Board,67.18269699999999,24.8821091
146, Jauhar Chowrangi,67.13528389999999,24.921177
147, Pahalwan Goth,67.1481189,24.9232479
148,Babar Market,67.1916392,24.8427248
149, Landhi No.3 1/2,67.1866868,24.8407603
150, Landhi No.5,67.2574151,24.8327778
151, Korangi No.6,67.1359564,24.820266
152, Korangi No.5,67.0998318,24.8343622
153, Korangi No.3,67.0998429,24.8343485
154, Qayumabad,67.0807149,24.8257241
155, Akhtar Colony,67.0740126,24.8393459
156, Defence Society,67.0622796,24.8418897
157, Luck Star Hotel,66.9472965,24.8686264
158,Khadda Quaters,66.9925648,24.8563681
159, Hospital Chowrangi,67.2252989,24.8371408
160, Market No.6,67.3640958,24.8751946
161, Gul Ahmed Textile Mills,67.2204567,24.8387597
162, Quaidabad,67.2117015,24.8584065
163, Dawood Chowrangi,67.20607249999999,24.8517714
164, Mansehra Colony,67.1999091,24.8545216
165, Murtaza Chowrangi,67.1813492,24.8507454
166, Singer Chowrangi,67.1601541,24.8464619
167, Bilal Chowrangi,67.14242399999999,24.8432892
168, Raja Ghazanfar Ali Road,67.0306834,24.8564881
169, Vita Chowrangi,67.12711159999999,24.8404313
170,Faqir Colony,66.9842808,24.928753
171, Hub River Road,66.9793775,24.8912348
172, Haji Camp,67.0139837,24.8402175
173, Jamila Street,67.00688629999999,24.8733181
174, Nishter Road,67.034313,24.8883911
175, Baba-e-Urdu Road,67.0085929,24.8596518
176, Shahra-e-Liaquat,67.0158508,24.8565591
177, Fresco Chowk,67.07762989999999,24.8901725
178, Mohammad-Bin-Qasim Road,67.0152682,24.8550065
179, Mansfield Street,67.0297887,24.8641111
180, Mir Karam Ali Talpur Road,67.0312106,24.8594864
181, Wellington Street,67.0319859,24.8589731
182, Clifton,67.0315657,24.8247963
183, Delhi Colony,67.044225,24.8317401
184, Gizri,67.04348039999999,24.8211201
185,Rehmania Mour,67.0546141,24.9935842
186, Khawaja Ajmeer Nagri,67.062179,24.9976968
187, Baradari,67.0311356,24.9281096
188, Disco Mour,67.05593859999999,24.9717061
189, Nusrat Bhutto Colony,67.0457144,24.9621571
190, Nazimabad No.7,67.0311713,24.9185329
191, Patel Para,67.0367783,24.8851307
192, Jama Cloth Market,67.0142486,24.8585747
193,F.B Area,67.071628,24.9332868
194, Noorani Masjid,67.0348423,24.8979635
195, Peoples Colony,67.0654486,24.9447081
196, Imam Bara,67.0302969,24.859007
197, Humayun Road,67.13648789999999,25.0291511
198, K.D.A Office,67.0644531,25.0185857
199, North Nazimabad,67.0405017,24.935421
200, Board Office,67.0629352,24.8038688
201, Lasbella,67.0099388,24.8614622
202, Sabil Wali Masjid,67.0385004,24.8790666
203, Soldier Bazar,67.03112999999999,24.87663
204, M.W Tower,66.99736949999999,24.8489381
205,North Nazimabad Block M,67.05725699999999,24.9447821
206, Shahra-e-Jahangir,67.0476347,24.9424859
207, Water Pump,66.9561253,24.9338405
208, Hyderi,67.040385,24.935491
209, Burns Road,67.01559139999999,24.8563594
210,Shirin Jinnah Colony,67.0006627,24.8187524
211, Mehata Palace,67.0329915,24.8142488
212, Clifton Bridge,67.03268489999999,24.8403923
213, Bagh-e-Jinnah,67.1785562,24.8956478
214, Metropole Hotel,67.0303378,24.8503787
215, Old Golimar,67.0129003,24.8860225
216, Bara Board,67.0173647,24.9030259
217, Valika Stop,67.010364,24.916036
218, Police Station,66.9977195,24.9333095
219, Labour Square,67.2445654,24.8324092
220, Rashidabad,67.04476,24.98431
221,Rashidabad,67.04476,24.98431
222, Bihar Colony,66.9876316,24.8729746
223, Ghani Chowrangi,66.9895172,24.8940574
224, Haji Camp Road,67.0143683,24.8409045
225, Baba-e-Urdu,67.0085929,24.8596518
226, Court Road,67.0211728,24.8544755
227, Sarwar Shaheed Road,67.0261324,24.8552641
228, Shahrah-e-Iraq,67.0284744,24.8593835
229, Masjid-e-Khizra,67.1472757,24.8781885
230,Agra taj Colony,66.9824193,24.8714301
231, Kalri,66.9835374,24.8693835
232, Baghdadi,66.9965672,24.8618271
233, Moosa Lane,66.9980564,24.8578697
234, Khajeer Bazar,67.0007949,24.8591979
235, Lea Market,67.0006161,24.8605147
236, Purani Haji Camp,67.0150063,24.8393376
237, Ranchore Lines,67.0139571,24.8646852
238, Shoe Market,67.0179802,24.8721774
239, Pakistan Quarters,67.0237467,24.8819725
240, Khawaja Jamat Khana,67.0321835,24.8821443
241, Liaquat Hospital,67.0684006,24.8901012
242, Dhoraji Society,67.07685839999999,24.8872435
243, National Cement Factory,67.1011751,24.902876
244, Naval Quaters,67.0633541,24.8599839
245, Labour Quaters,67.0960979,24.8902281
246, Drigh Road,67.1259864,24.8862903
247, Natha Khan Goth,67.13508019999999,24.882791
248, Airport,67.16808259999999,24.9008297
249, Malir,67.19757919999999,24.9028849
250, Landhi,67.1910982,24.8398779
251, Qazafi Town,67.2230313,24.8502038
252,New Karachi,67.062179,24.9976968
253, State Bank Quarters,67.03536090000001,24.9255821
254, Nazimabad No.1,67.0301065,24.9064621
255, Ranchor Lane,67.0143246,24.861786
256, Napier Road,67.00421349999999,24.8557389
257, Tower ,67.030388,24.856621
258, Industrial Area,67.135825,24.849999
259, Karimabad,67.0558398,24.9144164
260, Preedy Street,67.0274036,24.8606946
261,New Karachi Block 5-F,67.1462748,24.9566109
262, Goro Mandir,67.03985229999999,24.8807075
263,Nai Abadi,72.7008784,30.9160647
264, Power House,67.06406059999999,24.9861075
265, Saleem Centre,67.0050868,24.8532707
266, U.P Mour,67.06675349999999,24.9728003
267, Nagan Chowrangi,67.067159,24.9697748
268, Sakhi Hassan ,67.0542782,24.9589959
269,Surjani Town,67.06905499999999,25.035399
270, Yousuf Goth,66.93476509999999,24.9560244
271, Lal Market,67.12778329999999,24.8567738
272, New Karachi,67.062179,24.9976968
273, Liaquatabad No. 10,67.049352,24.9092658
274, Cantt Stations,67.04124,24.8438739
275, Sea View,67.0597288,24.7731313
276, Sakhi Hassan,67.0542782,24.9589959
277,Kali Market,67.08155,24.9863
278, Al-Hyderi,67.0423168,24.9354963
279, Numaish Chowrangi,67.0364525,24.8730489
280, Tibet Centre,67.02182429999999,24.8628099
281, Bander Road,67.0178376,24.8608075
282,Maymar Complex ,67.1188122,25.0027479
283, Al-Asif Plaza,67.17415919999999,24.8322369
284, Sohrab Goth,67.0844173,24.9439021
285,Faqeer Colony,66.9842808,24.928753
