17-H ,Saddar to Dhobi Ghat,"(67.0166725, 24.8531846)","(67.0458993, 24.8521103)","(67.055794, 24.8466809)","(67.0554883, 24.8411705)","(67.0740126, 24.8393459)",None,"(67.0932065, 24.8234025)","(67.0996564, 24.8301656)","(67.1421826, 24.8228273)","(67.1579957, 24.8273134)","(67.1656409, 24.8232494)","(67.0125769, 24.8780651)",,,,,,,,,,,,,,,,,,,,,
17-I ,Ghous Pak to Pahalwan Goth,"(67.160366, 24.8167795)","(67.0251991, 24.8684886)","(67.0998318, 24.8343622)","(67.1261433, 24.825333)","(67.1812114, 24.8521146)","(67.0992019, 24.8344855)",None,"(67.0740126, 24.8393459)","(67.06785719999999, 24.8368995)","(67.055794, 24.8466809)","(67.0458993, 24.8521103)","(67.0167444, 24.9324093)","(67.0166725, 24.8531846)","(67.0364525, 24.8730489)","(67.03985229999999, 24.8807075)","(67.04627289999999, 24.879842)","(67.0560005, 24.8852442)","(67.062179, 24.9976968)","(67.074753, 24.89203)","(67.0814333, 24.8960374)","(67.068269, 24.9296872)","(67.1060925, 24.9116457)","(67.0970104, 24.9175697)","(67.18269699999999, 24.8821091)","(67.1103421, 24.9252993)","(67.13528389999999, 24.921177)","(67.1481189, 24.9232479)",,,,,,
17-J ,Babar Market to Hijaz Dairy Farm,"(67.1916392, 24.8427248)","(67.1866868, 24.8407603)","(67.2574151, 24.8327778)","(67.1359564, 24.820266)","(67.0998318, 24.8343622)","(67.0998429, 24.8343485)","(67.0996564, 24.8301656)","(67.0932065, 24.8234025)","(67.0807149, 24.8257241)","(67.0740126, 24.8393459)","(67.0622796, 24.8418897)","(67.055794, 24.8466809)","(67.0458993, 24.8521103)","(66.9472965, 24.8686264)",None,,,,,,,,,,,,,,,,,,
17-K ,Khadda Quaters to Saddar,"(66.9925648, 24.8563681)","(67.2252989, 24.8371408)","(67.3640958, 24.8751946)","(67.2204567, 24.8387597)",None,"(67.2117015, 24.8584065)","(67.0125769, 24.8780651)","(67.20607249999999, 24.8517714)","(67.1999091, 24.8545216)","(67.1359564, 24.820266)","(67.0807149, 24.8257241)","(67.1813492, 24.8507454)","(67.0622796, 24.8418897)","(67.1601541, 24.8464619)","(67.0458993, 24.8521103)","(67.14242399999999, 24.8432892)","(67.0306834, 24.8564881)","(67.12711159999999, 24.8404313)","(67.1812114, 24.8521146)","(67.0992019, 24.8344855)",None,"(67.0740126, 24.8393459)","(67.06785719999999, 24.8368995)","(67.055794, 24.8466809)","(67.0458993, 24.8521103)","(67.0167444, 24.9324093)","(67.0166725, 24.8531846)",,,,,,
19-D ,Faqir Colony to Gizri,"(66.9842808, 24.928753)",None,"(66.9793775, 24.8912348)","(66.9883763, 24.8835908)","(66.9980564, 24.8676664)","(67.0006161, 24.8605147)","(67.0139837, 24.8402175)","(67.00688629999999, 24.8733181)","(67.034313, 24.8883911)","(67.0085929, 24.8596518)","(67.0158508, 24.8565591)","(67.07762989999999, 24.8901725)","(67.0152682, 24.8550065)","(67.01752909999999, 24.8607321)","(67.0297887, 24.8641111)","(67.02950299999999, 24.8626529)","(67.0312106, 24.8594864)","(67.0319859, 24.8589731)","(67.04124, 24.8438739)","(67.0315657, 24.8247963)","(67.044225, 24.8317401)","(67.04348039999999, 24.8211201)",,,,,,,,,,,
2-C ,Rehmania Mour to Tower,"(67.0546141, 24.9935842)","(67.062179, 24.9976968)","(67.0311356, 24.9281096)","(67.05593859999999, 24.9717061)","(67.0457144, 24.9621571)","(67.0237467, 24.9302573)","(67.0311713, 24.9185329)","(66.96933530000001, 24.9246687)","(67.0099388, 24.8614622)","(67.0367783, 24.8851307)","(67.03985229999999, 24.8807075)","(67.0364525, 24.8730489)","(67.0166725, 24.8531846)","(67.0158508, 24.8565591)","(67.0142486, 24.8585747)","(67.030388, 24.856621)",,,,,,,,,,,,,,,,,
2-D ,F.B Area to Noorani Masjid ,"(67.071628, 24.9332868)","(67.0348423, 24.8979635)","(67.0654486, 24.9447081)","(67.0302969, 24.859007)","(67.13648789999999, 25.0291511)","(67.0644531, 25.0185857)","(67.0405017, 24.935421)","(67.0629352, 24.8038688)","(67.0311713, 24.9185329)","(66.96933530000001, 24.9246687)","(67.0099388, 24.8614622)","(67.0385004, 24.8790666)","(67.03112999999999, 24.87663)","(67.0166725, 24.8531846)","(67.0158508, 24.8565591)","(66.99736949999999, 24.8489381)","(67.0348423, 24.8979635)",,,,,,,,,,,,,,,,
2-K ,North Nazimabad Block M to Keamari,"(67.05725699999999, 24.9447821)","(67.0476347, 24.9424859)","(66.9561253, 24.9338405)","(67.040385, 24.935491)","(67.0203958, 24.9230668)","(67.0217621, 24.9166257)","(67.0345691, 24.9032548)","(66.96933530000001, 24.9246687)","(67.03985229999999, 24.8807075)","(67.0166725, 24.8531846)","(67.01559139999999, 24.8563594)","(67.030388, 24.856621)","(66.8320207, 24.8847233)",,,,,,,,,,,,,,,,,,,,
20,Shirin Jinnah Colony to Rashidabad,"(67.0006627, 24.8187524)","(67.0315657, 24.8247963)","(67.0329915, 24.8142488)","(67.03268489999999, 24.8403923)","(67.1785562, 24.8956478)","(67.0303378, 24.8503787)","(67.0167444, 24.9324093)","(67.0166725, 24.8531846)","(67.0297056, 24.8813263)","(67.0129003, 24.8860225)","(67.0173647, 24.9030259)","(67.0303789, 24.8277325)","(67.010364, 24.916036)","(66.9977195, 24.9333095)","(66.99284399999999, 24.8941108)","(67.2445654, 24.8324092)","(67.04476, 24.98431)",,,,,,,,,,,,,,,,
22-A ,Rashidabad to Cantt Station,"(67.04476, 24.98431)","(66.9876316, 24.8729746)","(66.9895172, 24.8940574)","(66.9883763, 24.8835908)","(66.9980564, 24.8676664)","(67.0006161, 24.8605147)",None,"(67.0143683, 24.8409045)","(67.034313, 24.8883911)","(67.0085929, 24.8596518)","(67.0158508, 24.8565591)","(67.0211728, 24.8544755)","(67.0261324, 24.8552641)","(67.0284744, 24.8593835)","(67.1472757, 24.8781885)","(67.01559139999999, 24.8563594)","(67.01752909999999, 24.8607321)","(67.04124, 24.8438739)",,,,,,,,,,,,,,,
